Date,Price,Volume
2017-07-07,3.864,76
2017-07-08,3.85,210
2017-07-09,3.891,106
2017-07-10,3.928,115
2017-07-11,3.803,113
2017-07-12,3.858,100
2017-07-13,3.951,84
2017-07-14,4.003,133
2017-07-15,3.992,108
2017-07-16,3.728,105
2017-07-17,3.48,71
2017-07-18,3.672,52
2017-07-19,3.085,267
2017-07-20,0.967,6588
2017-07-21,1.188,2224
2017-07-22,1.176,2005
2017-07-23,1.05,10807
2017-07-24,1.014,3135
2017-07-25,1.048,1880
2017-07-26,1.087,1323
2017-07-27,1.086,1092
2017-07-28,1.07,958
2017-07-29,1.093,930
2017-07-30,1.086,719
2017-07-31,1.067,876
2017-08-01,1.085,1002
2017-08-02,1.052,587
2017-08-03,1.026,735
2017-08-04,0.989,716
2017-08-05,1.006,673
2017-08-06,0.981,653
2017-08-07,0.986,715
2017-08-08,1.001,589
2017-08-09,1.016,664
2017-08-10,1.029,735
2017-08-11,0.993,614
2017-08-12,1.014,614
2017-08-13,1.022,644
2017-08-14,1.053,580
2017-08-15,1.026,506
2017-08-16,1.02,554
2017-08-17,1.029,633
2017-08-18,1.088,598
2017-08-19,1.131,462
2017-08-20,1.102,417
2017-08-21,1.128,426
2017-08-22,1.132,494
2017-08-23,1.132,372
2017-08-24,1.138,368
2017-08-25,1.164,338
2017-08-26,1.169,428
2017-08-27,1.168,330
2017-08-28,1.169,372
2017-08-29,1.161,346
2017-08-30,1.199,478
2017-08-31,1.202,371
2017-09-01,1.234,318
2017-09-02,1.192,418
2017-09-03,1.24,329
2017-09-04,1.219,288
2017-09-05,1.23,329
2017-09-06,1.248,253
2017-09-07,1.24,279
2017-09-08,1.279,328
2017-09-09,1.273,400
2017-09-10,1.231,365
2017-09-11,1.241,291
2017-09-12,1.262,265
2017-09-13,1.271,313
2017-09-14,1.29,221
2017-09-15,1.277,333
2017-09-16,1.294,382
2017-09-17,1.279,386
2017-09-18,1.277,355
2017-09-19,1.262,315
2017-09-20,1.277,300
2017-09-21,1.273,373
2017-09-22,1.255,355
2017-09-23,1.237,424
2017-09-24,1.236,344
2017-09-25,1.273,310
2017-09-26,1.237,342
2017-09-27,1.203,271
