Date,Price,Volume
2017-01-13,25.019,18
2017-01-14,15.363,3
2017-01-15,15.573,9
2017-01-16,17.387,7
2017-01-17,17.771,3
2017-01-18,19.679,6
2017-01-19,19.481,1
2017-01-20,15.295,5
2017-01-21,10.877,2
2017-01-22,8.123,7
2017-01-23,6.785,5
2017-01-24,6.82,9
2017-01-25,7.4,17
2017-01-26,9.662,5
2017-01-27,13.672,5
2017-01-28,9.529,5
2017-01-29,4.242,202
2017-01-30,2.696,131
2017-01-31,2.829,48
2017-02-01,3.761,21
2017-02-02,3.634,23
2017-02-03,4.322,16
2017-02-04,5.383,45
2017-02-05,5.393,26
2017-02-06,4.323,8
2017-02-07,3.782,16
2017-02-08,3.478,11
2017-02-09,3.432,10
2017-02-10,3.501,13
2017-02-11,3.122,12
2017-02-12,3.357,15
2017-02-13,3.306,8
2017-02-14,3.108,9
2017-02-15,3.243,5
2017-02-16,2.884,11
2017-02-17,3.041,8
2017-02-18,2.658,12
2017-02-19,3.019,19
2017-02-20,3.117,8
2017-02-21,2.954,8
2017-02-22,2.76,5
2017-02-23,2.924,12
2017-02-24,3.099,8
2017-02-25,3.471,15
2017-02-26,4.484,12
2017-02-27,3.954,2
2017-02-28,3.443,7
2017-03-01,5.732,13
2017-03-02,6.733,3
2017-03-03,4.781,4
2017-03-04,3.765,3
2017-03-05,3.123,4
2017-03-06,3.59,10
2017-03-07,4.557,3
2017-03-08,4.219,3
2017-03-09,3.495,5
2017-03-10,3.847,7
2017-03-11,3.94,5
2017-03-12,3.621,5
2017-03-14,3.369,5
2017-03-15,3.516,4
2017-03-16,3.515,7
2017-03-17,3.819,7
2017-03-18,4.483,6
2017-03-19,5.286,5
2017-03-20,4.92,2
2017-03-21,4.747,1
2017-03-22,4.675,6
2017-03-23,3.847,4
2017-03-24,4.056,7
2017-03-25,4.931,3
2017-03-26,3.694,2
2017-03-27,3.5,6
2017-03-28,3.944,6
2017-03-29,3.582,3
2017-03-30,3.339,4
2017-03-31,3.523,3
2017-04-01,3.832,5
2017-04-02,3.553,2
2017-04-03,4.106,2
2017-04-04,4.178,5
2017-04-05,3.488,5
2017-04-06,3.328,5
2017-04-07,3.844,4
2017-04-08,3.935,4
2017-04-09,3.875,6
2017-04-10,3.847,6
2017-04-11,4.295,7
2017-04-12,4.709,3
2017-04-13,4.768,2
2017-04-14,4.63,1
2017-04-15,3.89,2
2017-04-16,4.636,4
2017-04-17,4.295,3
2017-04-18,4.613,4
2017-04-19,4.671,4
2017-04-20,4.679,7
2017-04-21,5.74,14
2017-04-22,5.989,5
